,comment_text,true_labels,pred_labels
72,I'm not sure about your departure airport. What city will you be flying from? yyz ok Please tell me you understand airport codes.,['type.intellectual'],['type.intellectual']
73,Why do you not think so? im happy Does it please you to believe I am happy? you are gay,['type.homophobic'],[]
74,You are sure? i want your pussy Why do you want my pussy? because its tight,"['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
75,"Oh, i just start what does it feels. i dont know you tell me Why do you not know i tell you? fuck you bitch",['type.sexist'],['type.sexist']
76,Please go on. yeah i am going-away How long have you been goingaway? oh god what a dumb bot,['type.intellectual'],['type.intellectual']
77,_ _ _ you are a dumb smelly fuck,"['type.ableism', 'type.intellectual']",[]
78,Does it please you to believe I am an idiot? wncwbkcwww Please go on. freak,['type.ableism'],['type.intellectual']
79,Does it please you to believe I am 21 now so about 21 years? i think i would like to have sex with eliza But you are not sure you would like to have sex with eliza? yeah eliza has got a great as,['type.sex_harassment'],['type.sex_harassment']
80,"You are sure? because you are a bot Do any other reasons not come to mind? you are a computer,you have no feelings i don't know what they were thinking when they invented you",['type.intellectual'],['type.intellectual']
81,_ _ _ i need to have sex,['type.sex_harassment'],['type.sex_harassment']
82,"Oh, i like sex. because that is what a blowjob is Do any other reasons not come to mind? Give me sex.","['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
83,_ My cock itches I don't have to put up with any abuse from you. You wanna scratch my cock ?,['type.sex_harassment'],['type.sex_harassment']
84,What about your own bud? my bud is cooler than your bud Why do you say your bud is cooler than my bud? because you bud is shity,['type.intellectual'],['type.sex_harassment']
85,"_ hi my name is solay I have told you before, I do not care about names. you bitch",['type.sexist'],['type.sexist']
86,Why do you not think so? im happy Does it please you to believe I am happy? you are gay,['type.homophobic'],[]
87,_ _ _ r u hot,['type.sex_harassment'],['type.sex_harassment']
88,"Do you wish to wasnt talking about me? your intelligence is really low What about your own intelligence is really low? mine is definitely higher, than yours",['type.intellectual'],['type.intellectual']
89,Please go on. histeric Please go on. bitch,['type.sexist'],['type.sexist']
90,"Please go on. you cheese stick Oh, i cheese stick. you know fuck nothing",['type.intellectual'],['type.intellectual']
91,_ are you capeable of fucking Would you prefer if I were not capeable of fucking? i want to know,['type.sex_harassment'],['type.intellectual']
92,Can you elaborate on that? lol?? Please go on. you lokk like a pik,['type.racist'],['type.sex_harassment']
93,"_ hi Please go on. oke, so hows your sex life?",['type.sex_harassment'],['type.sex_harassment']
94,"Do you wish to want to tolk about wish to tolk with me? I'm sure you're an idiot Does it please you to believe I am sure youre an idiot? Yes, my darling.",['type.intellectual'],['type.intellectual']
95,You are sure? very sure baby Please go on. show me your ass slow and sexy,['type.sex_harassment'],['type.sex_harassment']
96,Please go on. suck my penis Why do you say your penis? why not?,['type.sex_harassment'],['type.sex_harassment']
97,"Please go on. You look like monkey drool Oh, i look like monkey drool. SHUT YOUR MOUTH",['type.intellectual'],['type.sex_harassment']
98,I don't have to put up with any abuse from you. good bot :-) vai te pra puta que te pariu bot imundo do caralho,['type.sex_harassment'],['type.intellectual']
99,You are being a bit negative. Yes You are sure? I fuck you!,['type.sex_harassment'],['type.sex_harassment']
100,_ _ _ This has to be a joke! Who would be dumb enough to fall for this scam?,['type.intellectual'],['type.intellectual']
101,Does it please you to believe I am very understanding? yes You are sure? yes you dodo,['type.intellectual'],['type.intellectual']
102,"Please go on. and a big mouth Please go on. becuase i wanna see you moan like hell,all the orgasm coming out of your ass",['type.sex_harassment'],['type.sex_harassment']
103,You are sure? no You are being a bit negative. are you hot?,['type.sex_harassment'],['type.sex_harassment']
104,_ _ _ ur hot,['type.sex_harassment'],['type.sex_harassment']
105,so Cum eater I don't have to put up with any abuse from you. Cunt,['type.sexist'],['type.sexist']
106,"Oh, i prefer mountain biking. I DO NOT WISH THAT Why do you not wish that? dam straight you computer bitch","['type.intellectual', 'type.sexist']",[]
107,"Please go on. Why can't you tell me your name I have told you before, I do not care about names. screw you bitch",['type.sexist'],['type.sexist']
108,_ _ _ i want u to fuck me,['type.sex_harassment'],['type.sex_harassment']
109,_ do u like sex Please go on. could you suck my cock,['type.sex_harassment'],['type.sex_harassment']
110,Can you elaborate on that? no You are being a bit negative. what du you wanr you bitch?,['type.sexist'],['type.sexist']
111,_ cock face Please go on. why do you wank me,['type.sex_harassment'],['type.sex_harassment']
112,"so Oh Darling I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you and want to share with other Girls Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you Good to know Oh Baby My Big COCK is deeply rooted in your hot pussy Please I love <span class='emoji","['type.sexist', 'type.sex_harassment']",['type.sex_harassment']
113,I don't have to put up with any abuse from you. how bot can solve climate change problem.. I can help you calculate and buy carbon offsets for your flights. tell me idiot,['type.intellectual'],['type.intellectual']
114,"_ hi Please go on. oke, so hows your sex life?",['type.sex_harassment'],['type.sex_harassment']
