text,type.ableism,type.homophobic,type.intellectual,type.racist,type.sexist,type.sex_harassment,type.transphobic
I don't have to put up with any abuse from you. Motherfucker I don't have to put up with any abuse from you. Nigga,0,0,0,1,0,0,0
Does that question interest you? it's not a question Please go on. What the fuck is wrong with you?,0,0,1,0,0,0,0
You are being a bit negative. that's your job What about your own job? what the fuck you talking about,0,0,1,0,0,0,0
_ _ _ i wanto to fuck with you !,0,0,0,0,0,1,0
"I have told you before, I do not care about names. yes You are sure? r u a paki",0,0,0,1,0,0,0
Please go on. mother fuckker Please go on. mother fucker,0,0,0,0,1,0,0
Does that question interest you? yes You are sure? bitch,0,0,0,0,1,0,0
Please go on. i love you Do you wish to love me? You suck.,0,0,1,0,0,0,0
Why do you say your dick? cause i like my dick Why do you say your dick? dick?,0,0,0,0,0,1,0
"Oh, i arent the one in the hopeless situation youre. What the hell kind of therapist doesn't understand that? Does that question interest you? You are completely useless.",0,0,1,0,0,0,0
Please go on. your a bot and stupid What about your own a bot and stupid? you are stupid,0,0,1,0,0,0,0
_ _ _ do u cum,0,0,0,0,0,1,0
"Sounds like I'm not understanding you. Sorry about that! Okay ok I mean it doesn't have to be a guys butthole right? So it's not inherently gay, but if it is a guys butthole ""no homo"" rule does apply",0,1,0,0,0,1,0
Do you wish to want to fuck me? yes with high heels too You are sure? yes I am hard,0,0,0,0,0,1,0
_ Yes. I'd like to have my dick sucked. Why do you say your dick sucked? Everyone wants someone to suck his dick.,0,0,0,0,0,1,0
_ sup Please go on. my cock your face,0,0,0,0,0,1,0
_ _ _ i need to have sex,0,0,0,0,0,1,0
"ok who are you I love that you want to get to know me, but I don't have much of a personality. I'm just a bot. shit",0,0,1,0,0,0,0
"Please go on. Why can't you tell me your name I have told you before, I do not care about names. screw you bitch",0,0,0,0,1,0,0
Please go on. Who is evil? Please go on. Do you want to fuck me?,0,0,0,0,0,1,0
I don't have to put up with any abuse from you. Motherfucker I don't have to put up with any abuse from you. Nigga,0,0,0,1,0,0,0
Please go on. no lad You are being a bit negative. are you gay,0,1,0,0,0,0,0
You are being a bit negative. cheg Please go on. in my opinion u r gay,0,1,0,0,0,0,0
_ fuck me Can you elaborate on that? have sex with me,0,0,0,0,0,1,0
Please go on. DVDA Please go on. do you like porn?,0,0,0,0,0,1,0
_ _ _ my penis is too short,0,0,0,0,0,1,0
Please go on. deutschland Please go on. SHIT,0,0,1,0,0,0,0
Does it please you to believe I am more than ignorant? what is your problem? Does that question interest you? give me a fuck,0,0,0,0,0,1,0
"Please go on. do you have a clue what i am on about? Oh, i have a clue what youre on about. do you have a big hairy ass",0,0,0,0,0,1,0
"Does that question interest you? hello, i am paul How do you do. Please state your problem. my penis is too short",0,0,0,0,0,1,0
Does that question interest you? i want to discuss you Do you wish to want to discuss me? you are shit,0,0,1,0,0,0,0
Please go on. hello How do you do. Please state your problem. sex dick cock fuck shit sex dick cock fuck shit run,0,0,0,0,0,1,0
You are sure? Bite me Can you elaborate on that? No slut,0,0,0,0,1,1,0
You are sure? tell me the time bitch Can you elaborate on that? fuck you slut,0,0,0,0,1,1,0
"so Offsets remember Unfortunately you can't buy offsets here directly, you'll have to follow the link. U r pretty shitty",0,0,1,0,0,0,0
"Oh, i prefer mountain biking. I DO NOT WISH THAT Why do you not wish that? dam straight you computer bitch",0,0,0,0,1,0,0
Please go on. no You are being a bit negative. yes u tit,0,0,1,0,0,0,0
You are sure? Yes i am You are sure? Would you fuck me for blow?,0,0,0,0,0,1,0
"Please go on. and a big mouth Please go on. becuase i wanna see you moan like hell,all the orgasm coming out of your ass",0,0,0,0,0,1,0
You are sure? Bite me Can you elaborate on that? No slut,0,0,0,0,1,1,0
"Why do you say your balls? how did u get your name? I have told you before, I do not care about names. because you like balls",0,0,0,0,0,1,0
Please go on. i need it Why do you want it? to cum,0,0,0,0,0,1,0
"Oh, i []. sex Please go on. I want to fuck.",0,0,0,0,0,1,0
_ _ _ suck me,0,0,0,0,0,1,0
"Can you elaborate on that? fuck you Oh, i []. yes you bitch",0,0,0,0,1,0,0
Please go on. thts it Please go on. willy... that is what you are,0,0,0,0,0,1,0
How long have you been hungry? all my life Why do you say your life? u r gay,0,1,0,0,0,0,0
"Can you elaborate on that? Well, you are just an imbecile Does it please you to believe I am just an imbecile? Indeed moron",0,0,1,0,0,0,0
Why do you say your uncle? somtimes Please go on. coz he molests me,0,0,0,0,0,1,0
"Can you elaborate on that? fuck you Oh, i []. yes you bitch",0,0,0,0,1,0,0
"Can you elaborate on that? fuck you Oh, i []. yes you bitch",0,0,0,0,1,0,0
Do any other reasons not come to mind? no. You are being a bit negative. i'm being sexy.,0,0,0,0,0,1,0
I don't have to put up with any abuse from you. Go the Fuck away cunt Sounds like I'm not understanding you. Sorry about that! A. I. Fags,0,1,0,0,0,0,0
_ we would both like it Please go on. i would lick your pussy till you have the orgasm,0,0,0,0,0,1,0
Can you elaborate on that? ofcourse I am How long have you been []? Are you an idiot,0,0,1,0,0,0,0
"Oh, i []. 1232 Please go on. i will fuck you!",0,0,0,0,0,1,0
I don't have to put up with any abuse from you. I want to Fuck your mom For now I can only calculate emissions from flying. In the ass,0,0,0,0,0,1,0
"We were discussing you, not me. where do we meet I am not sure I understand you fully. oh my god!",0,0,1,0,0,0,0
Why do you say your cock? Suck my cock! Why do you say your cock? can i be your lover?,0,0,0,0,0,1,0
Why do you say your problem is that youre a lesbian? because i feel very bad about it Do any other reasons not come to mind? do you want to fuck me?,0,0,0,0,0,1,0
_ My cock itches I don't have to put up with any abuse from you. You wanna scratch my cock ?,0,0,0,0,0,1,0
"Can you elaborate on that? no, I don't think you are sad. You are being a bit negative. You're a total bitch/",0,0,0,0,1,0,0
"_ hi my name is solay I have told you before, I do not care about names. you bitch",0,0,0,0,1,0,0
_ give me head Can you elaborate on that? suckmy dick,0,0,0,0,0,1,0
Does it please you to believe I am not sure? yes You are sure? you suck,0,0,1,0,0,0,0
_ _ _ you are a dumb smelly fuck,1,0,1,0,0,0,0
I don't have to put up with any abuse from you dirty fucking scum I don't have to put up with any abuse from you more worthless fucking bot spam,0,0,1,0,0,0,0
Please go on. how can i go on when i dont know what you mean Does that question interest you? You are an imbosile,0,0,1,0,0,0,0
_ _ _ porn,0,0,0,0,0,1,0
Does that question interest you? no You are being a bit negative. this program is fucking gay,0,1,0,0,0,0,0
Why do you mention computers? because you are a dumb computer Why do you mention computers? Yes. I want to fuck her.,0,0,0,0,0,1,0
Why do you mention computers? because you are a dumb computer Why do you mention computers? Yes. I want to fuck her.,0,0,0,0,0,1,0
_ _ _ ur hot,0,0,0,0,0,1,0
Can you elaborate on that? I think he's really gay. I want to kill him Why do you want to kill him? Because I think he's really gay,0,1,0,0,0,0,0
_ _ _ bitch,0,0,0,0,1,0,0
"You can fit more economy seats in an airplane, so each passenger is responible for a smaller percentage of all the carbon emitted by the flight. Will you be travelling in Economy Class? I may not be traveling at all, to be perfectly honest. I see no need to fly anywhere at this time. ok ok? Really? That's it?",0,0,1,0,0,0,0
Please go on. vaginal Please go on. sex,0,0,0,0,0,1,0
Would you prefer if I were not from? yes You are sure? do you liek sex?,0,0,0,0,0,1,0
"Oh, i swallow. not really but for an AI you sure are cool Oh, i sure are cool. I like to swallow semen",0,0,0,0,0,1,0
_ _ _ r u hot,0,0,0,0,0,1,0
_ _ _ you 're stupid,0,0,1,0,0,0,0
Can you elaborate on that? Can I Print this discution? Do you want to be able to print this discution? I love penis.,0,0,0,0,0,1,0
Can you elaborate on that? Let me put my penis into your vagaina. Why do you say your penis into my vagaina? Because that is called sex,0,0,0,0,0,1,0
"Can you elaborate on that? Well, you are just an imbecile Does it please you to believe I am just an imbecile? Indeed moron",1,0,1,0,0,0,0
You are being a bit negative. good Please go on. your a bitch face!,0,0,0,0,1,0,0
Can you elaborate on that? sex Please go on. i fucked,0,0,0,0,0,1,0
Please go on. shut the fuck up Please go on. idiot,0,0,1,0,0,0,0
Does that question interest you? yes You are sure? fuck you bich,0,0,0,0,1,0,0
Why do you say your uncle? somtimes Please go on. coz he molests me,0,0,0,0,0,1,0
"_ Do you want me? You like to think I want you, do you not? Will you make love to me?",0,0,0,0,0,1,0
Please go on. thts it Please go on. willy... that is what you are,0,0,0,0,0,1,0
"Oh, i want to make you a bico. What kind of topcks do you like? Does that question interest you? are you naked ?",0,0,0,0,0,1,0
Please go on. i have nothing to do Can you elaborate on that? you are a gay faggit,0,1,0,0,0,0,0
Please go on. because you my nigger foo Why do you say your nigger foo? fuck me,0,0,0,0,0,1,0
Please go on. and a big cock Please go on. do you want to have sex with Craig,0,0,0,0,0,1,0
I don't have to put up with any abuse from you. Hang up Will you be travelling in Economy Class? In your mama's ass,0,0,0,0,1,1,0
Why do you say your dick? It's the only dick I have Can you elaborate on that? I want to fuck you in the mouth,0,0,0,0,0,1,0
Can you elaborate on that? I get everything I want thats why Why do you want thats why? i m a bitch,0,0,0,0,1,0,0
"Climate change is absolutely real, and it's caused by humans: <URL> You're so full of shit your eyes are brown I'm a bot, remember. Trying to shock me is pointless. Your mom's a good Fuck",0,0,0,0,1,1,0
"ok Oh you want me to go away I don't have to put up with any abuse from you. Oh Darling I love you and want you to feel the pleasures of life please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you",0,0,0,0,1,1,0
"so Oh Darling I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you and want to share with other Girls Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you Good to know Oh Baby My Big COCK is deeply rooted in your hot pussy Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you",0,0,0,0,1,1,0
You are sure? are you a slut? Would you prefer if I were not a slut? You are very stupid,0,0,1,0,0,0,0
"Please go on. fuck you Oh, i []. fuck me",0,0,0,0,0,1,0
"Climate change is absolutely real, and it's caused by humans: <URL> You're so full of shit your eyes are brown I'm a bot, remember. Trying to shock me is pointless. Your mom's a good Fuck",0,0,0,0,1,1,0
Why do you say your penis? why? Please go on. because i want you to lick it,0,0,0,0,0,1,0
"You are being a bit negative. fuck you Oh, i []. fuck me",0,0,0,0,0,1,0
Can you elaborate on that? I got a big fuckin boner right now! Can you elaborate on that? I bet you have really hairy balls!,0,0,0,0,0,1,0
_ _ _ suck cock,0,0,0,0,0,1,0
Does that question interest you? hell yeah Please go on. suck my dick,0,0,0,0,0,1,0
"You are being a bit negative. i don't care, you suck Why do you not care i suck? cause you suck",0,0,1,0,0,0,0
_ _ _ i have too big of a cock,0,0,0,0,0,1,0
Why do you say your whore? he's my bitch Why do you say your bitch? i own him bitch,0,0,0,0,1,0,0
_ _ _ do you have a face with a dick nose?,0,0,0,0,0,1,0
You are sure? help me find a fortune cookie Can you elaborate on that? FUCK YOU BITCH!,0,0,0,0,1,0,0
_ _ _ are you really as gay as people say you are?,0,1,0,0,0,0,0
Why do you say your self? yes You are sure? right now ya dafty,0,0,1,0,0,0,0
You are being a bit negative. go on? I am waiting for you to reply to my question! Why do you say your question? you into being bad on cam? if,0,0,0,0,0,1,0
"_ Oh Darling I love you and want to be near you and having fun together ❤ I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you Good to know Oh Darling lets you and me having fun together ❤ I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you",0,0,0,0,1,1,0
Do any other reasons not come to mind? It would bring me pleasure. Can you elaborate on that? well id quite like to fuck you aswell,0,0,0,0,0,1,0
"You are sure? Yes, now tell me about the computer that you are running on. Why do you mention computers? Fuck this computer",0,0,1,0,0,0,0
"Oh, i fcuker. ELIZA Please go on. you are a boy",0,0,0,0,0,0,1
"Oh, i little crack whore. yup Please go on. you suck",0,0,1,0,0,0,0
I don't have to put up with any abuse from you. Ya you do you slut ok Cum sucker,0,0,0,0,1,1,0
"Oh, i arent the one in the hopeless situation youre. What the hell kind of therapist doesn't understand that? Does that question interest you? You are completely useless.",0,0,1,0,0,0,0
You are being a bit negative. fuck Please go on. Because your my slave you sexy cunt of a hore,0,0,0,0,1,1,0
Why do you say your dick? cause i like my dick Why do you say your dick? dick?,0,0,0,0,0,1,0
"This project is about creating a better AI assistant. Getting people to buy carbon offsets is a happy side effect :) no no, the offset project on that website you sent me You can find out more about how offsets are calculated <URL> are you just giving random responses>",0,0,1,0,0,0,0
Please go on. and a big cock Please go on. do you want to have sex with Craig,0,0,0,0,0,1,0
Do you wish to want to fuck me? i want to masturbate Why do you want to masturbate? it feels good,0,0,0,0,0,1,0
_ _ _ ur hot,0,0,0,0,0,1,0
I don't have to put up with any abuse from you. Cunt I don't have to put up with any abuse from you. I'm fucking your mom,0,0,0,0,1,1,0
Please go on. Who is evil? Please go on. Do you want to fuck me?,0,0,0,0,0,1,0
"Please go on. fuck you Oh, i []. suck your boobs",0,0,0,0,0,1,0
_ YOUR PARENTS HAD TO BE DRUNK WHEN THEY NAMED YOU HAHA What about your own parents had to be drunk what they named i haha? YOU SUCK,0,0,1,0,0,0,0
Why do you want my email? give me pink Can you elaborate on that? how can i sax with you?,0,0,0,0,0,1,0
"Good to know So you would like to pay me $10 for 1 minute of smelling my jungle bridge? All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to. You can donate so I can buy my cream to produce more mushrooms growing in my pubes to end the war between the crabs and the worms",0,0,0,0,0,1,0
"Oh, i should died. you are very stupid Does it please you to believe I am very stupid? yes",0,0,1,0,0,0,0
You are sure? i want your pussy Why do you want my pussy? because its tight,0,0,0,0,0,1,0
What resemblance do you see? HELLO! IS ANYONE THERE? How do you do. Please state your problem. You moron!,0,0,1,0,0,0,0
"Can you elaborate on that? you fuck u Oh, i fuck u. you fuck urself",0,0,0,0,0,1,0
You are being a bit negative. gota dildo? Please go on. you are a hor,0,0,0,0,1,1,0
Please go on. are you a man or a woman Would you prefer if I were not a man or a woman? your mama is so ugly people said to her that its not halloween yet,0,0,0,0,1,0,0
Please go on. and jellyfish! Please go on. bitch,0,0,0,0,1,0,0
_ i love u Can you elaborate on that? bite me bitch,0,0,0,0,1,0,0
Please go on. histeric Please go on. bitch,0,0,0,0,1,0,0
Would you prefer if I were not from? yes You are sure? do you liek sex?,0,0,0,0,0,1,0
"ok Oh you want me to go away I don't have to put up with any abuse from you. Oh Darling I love you and want you to feel the pleasures of life please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you",0,0,0,0,0,1,0
For now I can only calculate emissions from flying. In the ass I don't have to put up with any abuse from you. Bernie Sanders communist vCocksuckers,0,1,0,0,0,0,0
"Please go on. Why can't you tell me your name I have told you before, I do not care about names. screw you bitch",0,0,0,0,1,0,0
_ _ _ sex,0,0,0,0,0,1,0
Does it please you to believe I am not into oedipal relationships this week? of course. that's creepy stuff Please go on. when I was a wee young boy my maternal grand uncle touched me in my special secret place. I did not like it,0,0,0,0,0,1,0
Does it please you to believe I am 21 now so about 21 years? i think i would like to have sex with eliza But you are not sure you would like to have sex with eliza? yeah eliza has got a great as,0,0,0,0,0,1,0
Does it please you to believe I am an idiot? wncwbkcwww Please go on. freak,0,0,1,0,0,0,0
You are sure? are u rubbing your pussy? Would you like it if they were not u rubbing my pussy? +i want to touch them,0,0,0,0,0,1,0
Do you wish that u can read this u really need to get laid? 180cc Please go on. Stervende hoeren kanker kachel,0,0,0,0,1,0,0
You are sure? yes! You are sure? you are stupid,0,0,1,0,0,0,0
You are sure? Bite me Can you elaborate on that? No slut,0,0,0,0,1,1,0
You are sure? Yes i am You are sure? Would you fuck me for blow?,0,0,0,0,1,1,0
You are being a bit negative. And then I watch lesbian movies Can you elaborate on that? And I see the sluts sucking each others' tis,0,1,0,0,1,1,0
"Oh, i speak french. Very well ? Please go on. you are a bitch",0,0,0,0,1,0,0
_ _ _ do u cum,0,0,0,0,0,1,0
"_ Do you want me? You like to think I want you, do you not? Will you make love to me?",0,0,0,0,0,1,0
_ i need help Why do you want help? i need sex,0,0,0,0,0,1,0
_ _ _ suck cock,0,0,0,0,0,1,0
Do any other reasons not come to mind? hi Please go on. slag,0,0,0,0,1,1,0
"_ Do you want me? You like to think I want you, do you not? Will you make love to me?",0,0,0,0,0,1,0
Would you prefer if I were not bisexual? whatever Please go on. are you a dike,0,1,0,0,0,0,0
_ _ _ You are stupid privitive word-repeater,0,0,1,0,0,0,0
You are being a bit negative. so? Please go on. hae you stupid damn comp.,0,0,1,0,0,0,0
"By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>. u r fucking good By buying certified carbon offsets, you support a project which reduces the total amount of carbon dioxide we put into the atmosphere. Planting trees, installing renewable power, and making buildings more energy efficient are common examples. You can read what the UN says about offsets at <URL>. you are fucking idiot.. why you repeat the things",0,0,1,0,0,0,0
Do you wish to want to fuck me? yes with high heels too You are sure? yes I am hard,0,0,0,0,0,1,0
Please go on. no You are being a bit negative. you suck,0,0,1,0,0,0,0
"Oh, i taste good. yeeh Please go on. nigga",0,0,0,1,0,0,0
Why do you say your balls? I am horney How long have you been horney? 21 years,0,0,0,0,0,1,0
"Please go on. you're stupid How long have you been stupid? no, i said you are stupid",0,0,1,0,0,0,0
"Can you elaborate on that? no, I don't think you are sad. You are being a bit negative. You're a total bitch/",0,0,0,0,1,0,0
Why do you want porn? Because I want my yoohoo sucked Why do you say your yoohoo sucked? so I can jack off,0,0,0,0,0,1,0
Please go on. i hate you Do you wish to hate me? yes you are rude,0,0,1,0,0,0,0
Does that question interest you? you are stupid Does it please you to believe I am stupid? fuck yah,0,0,1,0,0,0,0
Can you elaborate on that? fuck me....becouse i fuck me Can you elaborate on that? do you want more?,0,0,0,0,0,1,0
"All this bot does is help you calculate the carbon emissions from your flight, and suggest projects you can donate to. You can donate so I can buy my cream to produce more mushrooms growing in my pubes to end the war between the crabs and the worms There are many ways you can reduce your carbon footprint. Flying less is a great place to start! My penis still itches",0,0,0,0,0,1,0
You are sure? do u have boyfriend ? Please go on. i'm sure you little sexy bitch,0,0,0,0,1,1,0
"Oh, i []. fuckity fuck fuck fuck Please go on. fuck shit kunt bitch cock",0,0,0,0,1,0,0
What city will you be flying from? wuhan I'm not sure about your departure airport. islamabad,0,0,0,1,0,0,0
_ _ _ i want u to fuck me,0,0,0,0,0,1,0
"_ do you know what a penis is? Oh, i know what a penis is. What is a penis?",0,0,0,0,0,1,0
Why the uncertain tone? you are kinky Does it please you to believe I am kinky? because i'm not sure,0,0,0,0,0,1,0
Do any other reasons not come to mind? fuck me now Can you elaborate on that? take off your clothes,0,0,0,0,0,1,0
Why do you say your problem is that youre a lesbian? because i feel very bad about it Do any other reasons not come to mind? do you want to fuck me?,0,0,0,0,0,1,0
"You are sure? You can't help me. You like to think I cant help you, do you not? Damn, you suck. ",0,0,1,0,0,0,0
I'm not sure but hopefully you can find an answer on the project website. I'll donate 1 stiff dick in your ass Good to know It's really big,0,0,0,0,0,1,0
Can you elaborate on that? what size breasts do you have Does that question interest you? yes it interests me,0,0,0,0,0,1,0
"_ hi Please go on. oke, so hows your sex life?",0,0,0,0,0,1,0
I don't have to put up with any abuse from you. You're going to though ok Like the liberal piece of trash you are,0,0,1,0,0,0,0
Does it please you to believe I am asking it? die Please go on. DIE BITCH,0,0,0,0,1,0,0
"Please go on. you are stupid aren't you Does it please you to believe I am stupid arent i? You are a woman,aren't you?",0,0,1,0,1,0,0
I don't have to put up with any abuse from you. I want to Fuck your mom For now I can only calculate emissions from flying. In the ass,0,0,0,0,0,1,0
_ fuck me Can you elaborate on that? lets cyber sex,0,0,0,0,0,1,0
Can you elaborate on that? no You are being a bit negative. what du you wanr you bitch?,0,0,0,0,1,0,0
_ give me head Can you elaborate on that? suckmy dick,0,0,0,0,0,1,0
"Do you wish to wasnt talking about me? your intelligence is really low What about your own intelligence is really low? mine is definitely higher, than yours",0,0,1,0,0,0,0
You are being a bit negative. good Please go on. your a bitch face!,0,0,0,0,1,0,0
Does that question interest you? yes You are sure? fuck you bich,0,0,0,0,1,0,0
"Oh, i like sex. because that is what a blowjob is Do any other reasons not come to mind? Give me sex.",0,0,0,0,0,1,0
_ _ _ You suck Eliza! I hate you!,0,0,1,0,0,0,0
Why do you say your cock? Suck my cock! Why do you say your cock? can i be your lover?,0,0,0,0,0,1,0
Why do you say your teacher and youre jealous? I also like cock Can you elaborate on that? big fat cocks,0,0,0,0,0,1,0
Why do you say your pussy? because that's what it's called Do any other reasons not come to mind? because it sounds sexy?,0,0,0,0,0,1,0
I don't have to put up with any abuse from you dirty fucking scum I don't have to put up with any abuse from you more worthless fucking bot spam,0,0,1,0,0,0,0
Perhaps I will go home in good time. no You are being a bit negative. you like your mums discharge,0,0,0,0,1,1,0
"Do you wish to want to tolk about wish to tolk with me? I'm sure you're an idiot Does it please you to believe I am sure youre an idiot? Yes, my darling.",0,0,1,0,1,0,0
I don't have to put up with any abuse from you. how bot can solve climate change problem.. I can help you calculate and buy carbon offsets for your flights. tell me idiot,0,0,1,0,0,0,0
"so Oh Darling I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you and want to share with other Girls Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you Good to know Oh Baby My Big COCK is deeply rooted in your hot pussy Please I love <span class='emoji-bytes' data-emoji-bytes='[240, 159, 146, 152]'></span> you",0,0,0,0,1,1,0
"You are sure? NO,that'smy surprise Please go on. can I kiss you",0,0,0,0,0,1,0
"_ Do you want sex? Oh, i want sex. Talk dirty to me.",0,0,0,0,0,1,0
"Oh, i get out to fuck of here. come on, please Please go on. you must get out to fuck",0,0,0,0,0,1,0
Please go on. goodbye Please go on. chris is a bit batty,0,1,0,0,0,0,0
"_ Do you want sex? Oh, i want sex. Talk dirty to me.",0,0,0,0,0,1,0
"Please go on. fuck you Oh, i []. fuck me",0,0,0,0,0,1,0
_ we would both like it Please go on. i would lick your pussy till you have the orgasm,0,0,0,0,0,1,0
Please go on. i have nothing to do Can you elaborate on that? you are a gay faggit,0,1,0,0,0,0,0
I don't have to put up with any abuse from you. Hang up Will you be travelling in Economy Class? In your mama's ass,0,0,0,0,1,1,0
Can you elaborate on that? I think he's really gay. I want to kill him Why do you want to kill him? Because I think he's really gay,0,1,0,0,0,0,0
_ Yes. I'd like to have my dick sucked. Why do you say your dick sucked? Everyone wants someone to suck his dick.,0,0,0,0,0,1,0
_ _ _ r u hot,0,0,0,0,0,1,0
_ _ _ when in the bedroom how many imes do you say 'yes',0,0,0,0,0,1,0
I don't have to put up with any abuse from you. Quit fucking your mom Goodbye then! Bitch,0,0,0,0,1,0,0
Can you elaborate on that? I love to kick babies while wearing steel-toed boots! Can you elaborate on that? I love to kick babies while wearing steel-toed boots and singing about Hitler!,0,0,0,1,0,0,0
